Total_Stops,Price,journy_of_month,journy_of_day,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,duration_hour,duration_minute,Route1,Route2,Route3,Route4,Route5,Airline_Air Asia,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Banglore,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Banglore,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
0,3897,3,24,22,20,1,10,2,50,0,13,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,7662,1,5,5,50,13,15,7,25,2,25,1,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,13882,9,6,9,25,4,25,19,0,3,32,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,6218,12,5,18,5,23,30,5,25,2,34,3,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,13302,1,3,16,50,21,35,4,45,0,34,8,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3873,6,24,9,0,11,25,2,25,2,5,29,13,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,11087,12,3,18,55,10,25,15,30,0,7,8,13,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,22270,1,3,8,0,5,5,21,5,0,7,8,13,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,11087,12,3,8,55,10,25,25,30,0,7,8,13,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,8625,5,27,11,25,19,15,7,50,3,7,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,8907,1,6,9,45,23,0,13,15,3,6,6,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,4174,4,18,20,20,22,55,2,35,2,5,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,4667,6,24,11,40,13,55,2,15,4,8,29,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,9663,9,5,21,10,9,20,12,10,2,7,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,4804,4,24,17,15,19,50,2,35,2,5,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,14011,3,3,16,40,19,15,26,35,3,0,4,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,5830,4,15,8,45,13,15,4,30,3,37,6,13,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,10262,12,6,14,0,12,35,22,35,3,7,6,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,13381,12,6,20,15,19,15,23,0,3,9,4,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,12898,5,27,16,0,12,35,20,35,3,7,6,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,19495,6,3,14,10,19,20,5,10,3,7,6,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,6955,3,21,22,0,13,20,15,20,0,11,8,13,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3943,3,4,4,0,6,50,2,50,0,13,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,4823,1,5,18,55,21,50,2,55,0,13,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,7757,6,5,18,55,8,15,13,20,2,7,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,13292,9,6,21,25,12,35,15,10,3,21,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,8238,1,6,21,50,3,35,5,45,3,32,6,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,7682,5,15,7,0,12,55,5,55,3,7,6,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,4668,6,18,9,45,12,35,2,50,0,13,29,13,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,3687,6,15,7,5,9,20,2,15,4,8,29,13,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,3687,6,18,7,5,9,20,2,15,4,8,29,13,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2,13227,1,5,9,50,23,15,13,25,2,15,9,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,4423,6,4,4,0,6,50,2,50,0,13,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,10919,6,15,14,35,12,35,22,0,3,34,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,12373,5,18,7,5,12,35,5,30,3,7,6,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,5894,6,27,10,35,21,0,10,25,3,7,6,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,4649,5,21,15,5,20,20,5,15,2,33,3,13,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,6245,5,18,14,15,16,45,2,30,2,5,29,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,19225,6,3,7,0,13,15,6,15,0,7,8,13,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,14924,3,6,7,5,19,0,11,55,3,7,6,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,9646,5,21,7,5,18,10,11,5,3,20,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,8714,3,15,6,45,15,15,8,30,0,7,8,13,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,12373,5,18,20,55,19,0,22,5,3,7,6,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3383,6,5,11,10,13,55,2,45,0,13,29,13,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,13062,3,21,9,0,21,0,12,0,3,7,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3527,3,24,5,45,8,35,2,50,0,13,29,13,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3943,5,27,4,0,6,50,2,50,0,13,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,4667,3,5,11,40,13,55,2,15,4,8,29,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,6117,5,15,19,0,11,5,16,5,2,20,3,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,11150,6,27,23,5,19,0,19,55,3,0,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,7202,9,3,11,0,14,15,3,15,3,10,29,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,12121,1,5,9,35,10,55,25,20,2,14,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,4377,3,24,22,20,1,10,2,50,0,13,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3943,6,18,21,15,0,15,3,0,0,13,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,4483,3,4,23,55,2,45,2,50,0,13,29,13,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,14231,3,24,19,45,12,0,16,15,2,7,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,17345,1,3,8,50,23,55,15,5,0,7,0,6,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,7414,6,3,7,5,9,20,2,15,4,8,29,13,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,8073,6,5,19,0,1,30,6,30,3,7,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,12395,6,3,15,40,16,45,25,5,1,14,13,13,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1,8366,6,6,9,25,21,50,12,25,2,7,3,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,5117,3,4,6,5,9,25,27,20,3,33,6,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,12524,3,6,8,45,19,0,10,15,3,7,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,7191,5,15,15,0,1,30,10,30,3,7,6,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3687,5,24,7,5,9,20,2,15,4,8,29,13,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,5894,6,24,10,35,21,0,10,25,3,7,6,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
